"Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","
          Habitat Comment
        "
"Vascular Plant","Huperzia porophila","Rock Fir-clubmoss","SR-P","none","S2","G4","Rutherford","Current","in spray zone of waterfalls"
"Vascular Plant","Hydrangea cinerea","Ashy Hydrangea","W7","none","S2","G5","Rutherford","Current","shady ledges and cliffs, upslope of alluvial forests"
"Moth","Hydriomena divisaria","Black-dashed Hydriomena Moth","W3","none","S2S3","G5","Rutherford","Current","no habitat information"
"Dragonfly or Damselfly","Hylogomphus parvidens (syn. Gomphus parvidens)","Piedmont Clubtail","W2","none","S3","G4","Rutherford","Current","small woodland streams with sandy bottoms"
"Arachnid","Hypochilus coylei","a Lampshade Weaver","SR","none","S1","G3?","Rutherford","Current","rock outcrops (endemic to Chimney Rock vicinity of North Carolina)"
"Vascular Plant","Ilex longipes","Georgia Holly","SR-P","none","S1S2","G4","Rutherford","Current","upland forests and woodlands"
"Vascular Plant","Ipomopsis rubra","Standing Cypress","W7","none","S1S2","G4G5","Rutherford","Historical","sandy soils"
"Vascular Plant","Isoetes piedmontana","Piedmont Quillwort","T","none","S2","G4","Rutherford","Current","granite flatrocks and diabase glades"
"Vascular Plant","Isotria medeoloides","Small Whorled Pogonia","T","T","S1","G2G3","Rutherford","Current","forests, especially with white pine"
"Vascular Plant","Juglans cinerea","Butternut","W5","none","S2S3","G3","Rutherford","Current","cove forests, rich woods"
"Vascular Plant","Juncus longii","Long's Rush","W7","none","S1S2","G3Q","Rutherford","Current","wet, clayey soil"
"Vascular Plant","Juniperus communis var. depressa","Dwarf Juniper","T","none","S1","G5T5","Rutherford","Current","high elevation granitic domes, low elevation rocky summits"
"Reptile","Lampropeltis elapsoides","Scarlet Kingsnake","W1,W5","none","S3","G5","Rutherford","Current","pine flatwoods, mesic pine-hardwood forests (Alamance, Beaufort, Bertie, Bladen, Brunswick, Carteret, Chowan, Columbus, Craven, Currituck, Dare, Harnett, Hoke, Hyde, Jones, Lenoir, Macon, Mecklenburg, Montgomery, New Hanover, Onslow, Orange, Pamlico, Pasquotank, Pender, Perquimans, Pitt, Polk, Randolph, Richmond, Rutherford, Sampson, Scotland, Stanly, Stokes, Tyrrell, Wake)"
"Reptile","Lampropeltis triangulum","Milk Snake","W2","none","S3","G5","Rutherford","Current","wooded slopes, pastures, meadows, especially in rocky areas"
"Bird","Lanius ludovicianus","Loggerhead Shrike","SC, W2","none","S2S3B,S3N","G4","Rutherford","Current","fields and pastures [breeding season only]"
"Mammal","Lasiurus cinereus","Hoary Bat","SR","none","S3S4","G3G4","Rutherford","Current","mostly mid elevation to high elevation forests, sparingly into the Piedmont (breeding season only)"
"Vascular Plant","Lathyrus venosus","Smooth Peavine","W1","none","S3","G5","Rutherford","Current","rich bottomlands and rocky slopes, generally over mafic rocks"
"Moss","Leptostomopsis systylia","Mexican Melon-moss","SR-D","none","S1","G5","Rutherford","Current","on humus in acidic cove forests mixed hardwood-hemlock"
"Moss","Leucodon andrewsianus","Squirrel Tail Moss","W7","none","S2?","G5","Rutherford","Historical","trunks of trees, occasionally on rocks"
"Vascular Plant","Liatris aspera","Rough Blazing-star","T","none","S1","G4G5","Rutherford","Current","glades, open woods, fens"
"Vascular Plant","Liatris microcephala","Small-head Blazing-star","SC-V","none","S1","G3G4","Rutherford","Current","rock outcrops, glades, dry woodlands"
"Vascular Plant","Liatris squarrulosa","Earle's Blazing-star","SR-P","none","S2","G4G5","Rutherford","Current","diabase glades, open woods especially over mafic rocks; also loamy-sand soils in longleaf pine-oak sandhills"
"Vascular Plant","Liatris turgida","Shale-barren Blazing-star","SR-T","none","S1S2","G3","Rutherford","Current","dry rocky woods"
"Vascular Plant","Lilium canadense","Canada Lily","E","none","S1","G5","Rutherford","Historical","bogs, wet meadows"
"Vascular Plant","Lindernia monticola","Flatrock Pimpernel","W1","none","S2","GNR","Rutherford","Current","seepages on granitic flatrocks and other rock outcrops"
"Vascular Plant","Liparis loeselii","Fen Orchid","E","none","S1","G5","Rutherford","Historical","seeps, bay swamps"
"Vascular Plant","Lithospermum virginianum","Virginia Marbleseed","W1","none","S3","G4","Rutherford","Current","sandhill woodlands, shell middens, barrens, glades or woodlands over mafic and calcareous rocks"
"Vascular Plant","Lonicera flava","Yellow Honeysuckle","W1","none","S3","G5?","Rutherford","Current","thin soils around rock outcrops, mainly mafic"
"Liverwort","Lophocolea appalachiana","A Liverwort","SC-V","none","S1","G2","Rutherford","Current","on rock faces in spray zone of waterfalls"
"Natural Community","Low Elevation Acidic Glade (Biltmore Sedge Subtype)","","","none","S2","G2G3","Rutherford","Current","null"
"Natural Community","Low Elevation Basic Glade (Montane Subtype)","","","none","S2","G2","Rutherford","Current","null"
"Natural Community","Low Elevation Granitic Dome","","","none","S2","G2","Rutherford","Current","null"
"Natural Community","Low Elevation Rocky Summit (Acidic Subtype)","","","none","S2","G3?","Rutherford","Current","null"
"Natural Community","Low Elevation Rocky Summit (Basic Subtype)","","","none","S1","G1","Rutherford","Current","null"
"Natural Community","Low Elevation Seep (Floodplain Subtype)","","","none","S2","G4","Rutherford","Current","null"
"Natural Community","Low Elevation Seep (Montane Subtype)","","","none","S2S3","G2?","Rutherford","Current","null"
"Natural Community","Low Montane Red Oak Forest","","","none","S4?","G4?","Rutherford","Current","null"
"Natural Community","Low Mountain Pine Forest (Montane Pine Subtype)","","","none","S2?","G3G4","Rutherford","Current","null"
"Natural Community","Low Mountain Pine Forest (Shortleaf Pine Subtype)","","","none","S2","G2G3","Rutherford","Current","null"
"Moth","Lytrosis heitzmanorum","a Geometrid Moth","W3","none","SU","G5","Rutherford","Current","oak-hickory forests in lower elevation mountains and piedmont"
"Moss","Macrocoma sullivantii","Sullivant's Maned-moss","SR-D","none","S2","GNRT3T5","Rutherford","Current","bark of cedar or hardwoods"
"Liverwort","Mannia californica","A Liverwort","SR-T","none","S1","G3?","Rutherford","Current","on mineral-rich, dry rock outcrops"
"Vascular Plant","Matelea decipiens","Glade Milkvine","W1","none","S3","G5","Rutherford","Current","thin woodlands over mafic or calcareous rocks"
"Butterfly","Megathymus yuccae","Yucca Giant-Skipper","W2","none","S3S4","G5","Rutherford","Current","dunes, flatwoods, old fields, and other places near yuccas; host plants -- Yucca species"
"Grasshopper or Katydid","Melanoplus devius","Devious Short-wing Grasshopper","W3","none","SU","GU","Rutherford","Current","dry montane forests at middle elevations; no locality information"
"Natural Community","Mesic Mixed Hardwood Forest (Piedmont Subtype)","","","none","S4","G3G4","Rutherford","Current","null"
"Freshwater or Terrestrial Gastropod","Mesomphix andrewsae","Mountain Button","W2","none","S3S4","G3G4","Rutherford","Current","acidic upland hardwood forests"
"Moth","Metarranthis mollicularia","a Geometrid Moth","W3","none","SU","GNR","Rutherford","Current","no habitat information"
"Vascular Plant","Micranthes careyana","Carey Saxifrage","W1","none","S3","G3","Rutherford","Current","seepy rock faces"
"Vascular Plant","Monarda punctata var. arkansana","Arkansas Horsemint","SR-D","none","S1","G5T3","Rutherford","Historical","dry forests over mafic rock"
"Vascular Plant","Mononeuria uniflora","Single-flowered Sandwort","E","none","S1","G4","Rutherford","Current","granite flatrocks"
"Vascular Plant","Monotropsis odorata","Sweet Pinesap","SR-O","none","S3","G3","Rutherford","Current","dry forests and bluffs"
"Natural Community","Montane Alluvial Forest (Small River Subtype)","","","none","S1","G3","Rutherford","Current","null"
"Natural Community","Montane Cliff (Acidic Subtype)","","","none","S3","G3G4","Rutherford","Current","null"
"Natural Community","Montane Cliff (Calcareous Subtype)","","","none","S1","G3G4","Rutherford","Current","null"
"Natural Community","Montane Cliff (Mafic Subtype)","","","none","S3","G3","Rutherford","Current","null"
"Natural Community","Montane Oak--Hickory Forest (Acidic Subtype)","","","none","S4S5","G4G5","Rutherford","Current","null"
"Natural Community","Montane Oak--Hickory Forest (Basic Subtype)","","","none","S3","G3","Rutherford","Current","null"
"Natural Community","Montane Oak--Hickory Forest (Low Dry Basic Subtype)","","","none","S1","G1G2","Rutherford","Current","null"
"Natural Community","Montane Oak--Hickory Forest (Low Dry Subtype)","","","none","S2","G2G3","Rutherford","Current","null"
"Natural Community","Montane Red Cedar-Hardwood Woodland","","","none","S2","G2","Rutherford","Current","null"
"Freshwater Fish","Moxostoma robustum","Robust Redhorse","E","C","S1","G1","Rutherford","Historical","Pee Dee River; formerly in tributaries of this river"
"Vascular Plant","Muhlenbergia mexicana","Mexican Muhly","W7","none","S1?","G5","Rutherford","Current","forests and openings"
"Vascular Plant","Muhlenbergia sylvatica","Woodland Muhly","W7","none","S1S2","G5","Rutherford","Current","rich alluvial forests"
"Mammal","Myotis grisescens","Gray Bat","E","E","S1","G3G4","Rutherford","Current","roosts in caves; forages mainly over open water"
"Mammal","Myotis leibii","Eastern Small-footed Bat","SC","none","S2","G4","Rutherford","Current","roosts in hollow trees and in rock crevices (warmer months), in caves and mines (winter)"
"Mammal","Myotis lucifugus","Little Brown Bat","E","none","S2","G3G4","Rutherford","Current","roosts in buildings (summer), in caves and mines (winter)"
"Mammal","Myotis septentrionalis","Northern Long-eared Bat","T","E","S2","G2G3","Rutherford","Current","roosts in hollow trees and buildings (warmer months), in caves and mines (winter); mainly in the mountains"
"Mammal","Myotis sodalis","Indiana Bat","E","E","S1S2","G2","Rutherford","Current","roosts in hollow trees or under loose bark and snags (warmer months), in caves (winter)"
"Vascular Plant","Nabalus albus","Northern Rattlesnake-root","SC-V","none","S2?","G5","Rutherford","Current","hardwood forests"
"Mammal","Neotoma floridana haematoreia","Southern Appalachian Eastern Woodrat","W2","none","S3S4","G5T4Q","Rutherford","Current","rocky places in deciduous or mixed forests, in southern mountains and adjacent Piedmont"
"Arachnid","Nesticus brimleyi","a Cave Cobweb Spider","SR","none","S2","G1G2","Rutherford","Current","caves (endemic to North Carolina)"
"Arachnid","Nesticus carolinensis","Linville Caverns Spider","SR","none","S2","G2","Rutherford","Historical","caves (endemic to North Carolina)"
"Freshwater Fish","Notropis lutipinnis","Yellowfin Shiner","SC","none","S2","G4Q","Rutherford","Current","Savannah and Little Tennessee [only the Savannah drainage is listed as SC]"
"Freshwater Fish","Notropis rubricroceus","Saffron Shiner","W5","none","S3","G4G5","Rutherford","Current","most mountain drainages, but mainly French Broad and Toe"
"Dragonfly or Damselfly","Ophiogomphus incurvatus","Appalachian Snaketail","W2","none","S3","G3","Rutherford","Current","small to medium streams"
"Vascular Plant","Packera millefolium","Divided-leaf Ragwort","SC-V","none","S2","G3","Rutherford","Current","granitic domes, other outcrops"
"Vascular Plant","Packera paupercula var. paupercula","Balsam Ragwort","SC-V","none","S1?","G5TNR","Rutherford","Current","fens, bogs, and diabase glades"
"Vascular Plant","Panax quinquefolius","Ginseng","W1","none","S3S4","G3G4","Rutherford","Current","cove forests, other rich forests"
"Vascular Plant","Paronychia montana","Mountain Nailwort","W7","none","S1?","G4","Rutherford","Current","rocky slopes"
"Vascular Plant","Parthenium auriculatum","Glade Wild Quinine","SR-T","none","S3","G3G4","Rutherford","Current","glades and openings over mafic rocks"
"Vascular Plant","Pellaea atropurpurea","Purple-stem Cliff-brake","W1","none","S3","G5","Rutherford","Current","limestone outcrops"
"Mammal","Perimyotis subflavus","Tricolored Bat","E","PE","S3","G3G4","Rutherford","Current","roosts in clumps of leaves (mainly in summer), caves, rock crevices, and other dark and sheltered places"
"Mammal","Peromyscus polionotus","Oldfield Deermouse","SC","none","S1","G5","Rutherford","Current","sandy, fallow fields near South Carolina line"
"Vascular Plant","Philadelphus hirsutus","Hairy Mock-orange","W1","none","S2","G5","Rutherford","Current","bluffs, cliffs, and rocky woods, mainly over mafic or calcareous rocks"
"Vascular Plant","Philadelphus inodorus","Scentless Mock-orange","W1","none","S3","G4G5","Rutherford","Current","bluffs, cliffs, and rocky woods, mainly over mafic or calcareous rocks"
"Moss","Philonotis cernua","Dwarf Apple Moss","SR-D","none","S1","G4?","Rutherford","Historical","in spray zones of waterfalls, moist rocks in humid gorges"
"Moss","Philonotis marchica","An Apple Moss","W7","none","S2?","G5","Rutherford","Current","rocks and soil in wet places, roadsides, springs"
"Vascular Plant","Phlox amplifolia","Largeleaf Phlox","W1","none","S2","G3G5","Rutherford","Current","hardwood forests on mafic rock"
"Vascular Plant","Phlox divaricata var. divaricata (syn. Phlox divaricata)","Wild Blue Phlox","W1","none","S3","G5T3T5","Rutherford","Historical","rich deciduous forests and slopes"
"Natural Community","Piedmont Alluvial Forest","","","none","S4","G4","Rutherford","Current","null"
"Natural Community","Piedmont Headwater Stream Forest (Typic Subtype)","","","none","S3S4","G3G4","Rutherford","Current","null"
"Natural Community","Piedmont Levee Forest (Typic Subtype)","","","none","S3S4","G3G4","Rutherford","Current","null"
"Natural Community","Pine--Oak/Heath (Typic Subtype)","","","none","S3","G3","Rutherford","Current","null"
"Reptile","Pituophis melanoleucus melanoleucus","Northern Pinesnake","T","none","S2","G4T4","Rutherford","Historical","dry and sandy woods, mainly in pine/oak sandhills"
"Liverwort","Plagiochasma wrightii","A Liverwort","SR-D","none","S1","G3?","Rutherford","Current","on moist calcareous rocks"
"Liverwort","Plagiochila raddiana","A Liverwort","SR-P","none","S1","G5","Rutherford","Historical","on bark or moist rock in swamps and mountain gorges"
"Liverwort","Plagiochila undata","A Liverwort","W7","none","S2","G4G5","Rutherford","Current","on rocks or bark"
"Vascular Plant","Platanthera cristata","Yellow-crested Orchis","","none","S4","G5","Rutherford","Historical","bogs, low meadows, swamps and pocosins"
"Reptile","Plestiodon anthracinus","Coal Skink","SR","none","S2","G5","Rutherford","Current","rocky slopes, wooded hillsides, roadbanks"
"Amphibian","Plethodon amplus","Blue Ridge Gray-cheeked Salamander","SR","none","S1","G2","Rutherford","Current","mesic forests in the Hickorynut Gorge vicinity (endemic to this area)"
"Amphibian","Plethodon meridianus","South Mountain Gray-cheeked Salamander","SR","none","S1","G2","Rutherford","Current","mesic forests of the South Mountains (endemic to this area)"
"Amphibian","Plethodon yonahlossee pop. 1","Crevice Salamander","SC","none","S2","G4T1T2Q","Rutherford","Current","Hickorynut Gorge area (endemic to this area); crevices in moist shaded rocks"
"Moss","Pohlia lescuriana","Spherical Bulb Nodding Moss","SR-T","none","S1?","G4G5","Rutherford","Current","on wet, noncalcareous soil in open areas"
"Vascular Plant","Primula meadia","Shooting-star","SC-V","none","S2S3","G5","Rutherford","Current","mafic cliffs, dry coniferous woodlands, and associated nutrient-rich alluvial forests"
"Moth","Properigea costa","Barrens Moth","W3","none","SU","G4","Rutherford","Current","rocky outcrops"
"Vascular Plant","Prunus alleghaniensis var. alleghaniensis","Allegheny Plum","SR-T","none","S1","G4T4","Rutherford","Current","Dry rocky woodlands"
"Vascular Plant","Prunus umbellata","Hog Plum","W7","none","S2","G5","Rutherford","Current","rocky or sandy woodlands"
"Moth","Ptichodis bistrigata","Southern Ptichodis","W2","none","S3S4","G3","Rutherford","Current","xeric sandhills"
"Vascular Plant","Pycnanthemum clinopodioides","Basil Mountain-mint","W7","none","S1?","G1G2","Rutherford","Current","forests, woodland borders"
"Moss","Pylaisia polyantha (syn. Pylaisiella polyantha)","Many-fruited Feather Moss","W1","none","S2?","G5","Rutherford","Current","on tree trunks and bases or logs"
"Vascular Plant","Quercus georgiana","Georgia Oak","SR-P","none","S1","G3","Rutherford","Current","dry slopes and bluffs"
"Vascular Plant","Quercus muehlenbergii","Chinquapin Oak","W1","none","S2","G5","Rutherford","Current","calcareous forsts and bluffs"
"Vascular Plant","Quercus palustris","Pin Oak","W1","none","S2","G5","Rutherford","Current","swamps"
"Vascular Plant","Quercus prinoides","Dwarf Chinquapin Oak","E","none","S1","G5","Rutherford","Current","dry, rocky slopes"
"Liverwort","Reboulia hemisphaerica ssp. dioica","A Liverwort","W7","none","S1","G5T2?Q","Rutherford","Current","in spray zone of waterfalls in humid gorges"
"Vascular Plant","Rhynchospora alba","Northern White Beaksedge","SR-P","none","S2","G5","Rutherford","Current","fens, bogs, pocosin openings, limesink ponds"
"Moss","Rhynchostegium aquaticum","Long-beaked Water Feather Moss","SR-O","none","S1?","GNR","Rutherford","Current","streams"
"Liverwort","Riccia beyrichiana","A Liverwort","W7","none","S1S2","G5","Rutherford","Current","moist soil and gravel"
"Natural Community","Rich Cove Forest (Foothills Intermediate Subtype)","","","none","S3","G4?","Rutherford","Current","null"
"Natural Community","Rich Cove Forest (Foothills Rich Subtype)","","","none","S2","G2G3","Rutherford","Current","null"
"Natural Community","Rich Cove Forest (Montane Intermediate Subtype)","","","none","S4","G4","Rutherford","Current","null"
"Natural Community","Rich Montane Seep","","","none","S3","G3","Rutherford","Current","null"
"Vascular Plant","Robinia viscosa","Clammy Locust","SR-T","none","S1","G3","Rutherford","Current","open area, trail sides"
"Vascular Plant","Ruellia purshiana","Pursh's Wild-petunia","SC-V","none","S2","G3","Rutherford","Historical","glades and woodlands, mostly over mafic or calcareous rocks"
"Vascular Plant","Sceptridium jenmanii","Alabama Grape-fern","SC-V","none","S2","G3G4","Rutherford","Current","moist to dryish forests and disturbed areas"
"Vascular Plant","Sceptridium oneidense","Blunt-lobed Grape-fern","SR-P","none","S2","G4","Rutherford","Current","cove forests, bogs"
"Moss","Sciuro-hypnum plumosum (syn. Brachythecium plumosum)","Rusty Feather Moss","W7","none","S2?","G5","Rutherford","Current","moist, acid rocks in or near streams"
"Moss","Sciuro-hypnum populeum","Matted Feather Moss","SR-P","none","S1","G5","Rutherford","Current","mountain forests"
"Vascular Plant","Scutellaria ovata var. rugosa","A Heartleaf Skullcap","SR-T","none","S1","G5T4","Rutherford","Current","rich woods on circumneutral soil"
"Vascular Plant","Scutellaria serrata","Showy Skullcap","W1","none","S2S3","G4G5","Rutherford","Current","deciduous forests"
"Vascular Plant","Senna hebecarpa","Wild Senna","W7","none","S2S3","G5","Rutherford","Current","forests"
"Bird","Setophaga cerulea","Cerulean Warbler","SC","none","S2B","G4","Rutherford","Current","mature hardwood forests; steep slopes and coves in mountains, natural levees in Coastal Plain [breeding evidence only]"
"Vascular Plant","Silene ovata","Mountain Catchfly","SC-V","none","S3","G3","Rutherford","Historical","rich slopes, cove forests, montane oak-hickory forests"
"Vascular Plant","Sisyrinchium dichotomum","White Irisette","E","E","S2","G2","Rutherford","Current","thin woods, especially over amphibolite, in the escarpment region"
"Vascular Plant","Smilax lasioneura","Blue Ridge Carrion-flower","SR-P","none","S1","G5","Rutherford","Current","oak-hickory forests over mafic rocks"
"Vascular Plant","Solidago simulans","Granite Dome Goldenrod","SR-L","none","S2","G2","Rutherford","Current","high and low elevation granitic domes south of the Asheville Basin"
"Vascular Plant","Solidago tarda","Atlantic Goldenrod","SR-O","none","S1","G4?Q","Rutherford","Current","barrens and rocky woodlands; dry, disturbed roadside"
"Vascular Plant","Solidago ulmifolia","Elm-leaf Goldenrod","SR-O","none","SU","G5","Rutherford","Current","rocky forests and woodlands, especially on mafic and calcareous substrates"
"Mammal","Sorex hoyi","American Pygmy Shrew","W2","none","S3","G5","Rutherford","Current","montane deciduous forests; old fields and forests in northeastern Coastal Plain"
"Natural Community","Southern Appalachian Bog (Low Elevation Subtype)","","","none","S1S2","G1G2","Rutherford","Current","null"
"Natural Community","Southern Mountain Pine--Oak Forest","","","none","S1S2","G3G4","Rutherford","Current","null"
"Butterfly","Speyeria diana","Diana Fritillary","W2","none","S3S4","G2G3","Rutherford","Current","montane and foothill forest edges and openings; host plants -- violets (Viola)"
"Vascular Plant","Sphenopholis intermedia","Slender Wedgegrass","W7","none","S2","G5","Rutherford","Current","moist nutrient-rich forests, barrens, meadows"
"Mammal","Spilogale putorius","Alleghanian Spotted Skunk","SR-G","none","S3","GNR","Rutherford","Current","forests with rocks, cliffs, and other den sites"
"Vascular Plant","Spiranthes ochroleuca","Yellow Ladies'-tresses","T","none","S1","G4","Rutherford","Current","grassy balds, meadows, wooded slopes"
"Natural Community","Spray Cliff","","","none","S2","G2","Rutherford","Current","null"
"Vascular Plant","Steironema tonsum","Appalachian Loosestrife","SR-P","none","S2","G4","Rutherford","Current","Moist to dry upland forests, especially over calcareous or mafic rocks."
"Vascular Plant","Stewartia ovata","Mountain Camellia","SR-P","none","S3","G4","Rutherford","Current","bluffs and forests, usually with rhododendrons"
"Vascular Plant","Symphyotrichum concinnum","Narrow-leaved Smooth Aster","E","none","S2","G5T4","Rutherford","Current","forests, woodland borders especially over mafic rocks"
"Butterfly","Telegonus cellus","Golden Banded-Skipper","SR","none","S2","G5","Rutherford","Current","moist woods near streams; host plant -- wild bean (Phaseolus polystachios)"
"Vascular Plant","Tetragonotheca helianthoides","Pineland Squarehead","W1","none","S2S3","G5","Rutherford","Current","sandy woodlands, forests, roadsides"
"Vascular Plant","Thalictrum macrostylum","Small-leaved Meadowrue","SC-V","none","S2","G3G4","Rutherford","Current","bogs and wet woods"
"Vascular Plant","Thermopsis mollis","Appalachian Golden-banner","SR-T","none","S2","G3G4","Rutherford","Current","dry ridges and open woodlands"
"Vascular Plant","Tradescantia hirsuticaulis","Hairy Spiderwort","W7","none","S2","G5","Rutherford","Current","dry rocky woodlands and rock outcrops"
"Vascular Plant","Tradescantia virginiana","Virginia Spiderwort","SR-O","none","S2S3","G5","Rutherford","Current","rich woods on circumneutral soils"
"Vascular Plant","Trichophorum cespitosum","Deerhair Bulrush","SR-D","none","S2S3","G5","Rutherford","Current","high elevation rocky summits, moist cliffs"
"Vascular Plant","Trichostema setaceum","Narrowleaf Bluecurls","SR-T","none","S2","G5","Rutherford","Current","dry woodlands, granite flatrocks"
"Vascular Plant","Trillium rugelii","Southern Nodding Trillium","W1","none","S3","G4","Rutherford","Current","rich woods and coves over mafic and calcareous rocks"
"Vascular Plant","Trillium simile","Sweet White Trillium","SC-V","none","S2","G3","Rutherford","Current","rich coves"
"Vascular Plant","Tsuga canadensis","Eastern Hemlock","W5","none","S4S5","G4G5","Rutherford","Current","moist soils"
"Vascular Plant","Tsuga caroliniana","Carolina Hemlock","W5","none","S2","G3","Rutherford","Current","open forests on ridgetops, rocky bluffs, or gorge walls"
"Vascular Plant","Utricularia cornuta","Horned Bladderwort","T","none","S1S2","G5","Rutherford","Current","bogs, limesink ponds"
"Vascular Plant","Utricularia subulata","Zigzag Bladderwort","","none","S4","G5","Rutherford","Historical","bogs, ditches and sandy depressions"
"Vascular Plant","Vandenboschia boschiana","Appalachian Filmy-fern","E","none","S1","G4","Rutherford","Historical","spray zone of waterfalls, seeps over rock"
"Bird","Vermivora cyanoptera","Blue-winged Warbler","SR","none","S2B","G5","Rutherford","Current","low elevation brushy fields and thickets [breeding evidence only]"
"Vascular Plant","Viola glaberrima","Smooth Violet","W7","none","S1S3","G5T3?","Rutherford","Historical","Rich mesic to wet-mesic forests on lower slopes and bottomlands, especially over mafic or calcareous rocks."
"Reptile","Virginia valeriae","Smooth Earthsnake","W2","none","S3","G5","Rutherford","Obscure","deciduous or mixed woods, usually in mesic soils"
"Moss","Weissia sharpii","A Moss","SR-O","none","S1?","G3","Rutherford","Current","calcareous rock, cedar-oak bluffs, cedar barrens"
"Vascular Plant","Woodsia appalachiana","Appalachian Cliff Fern","SR-P","none","S2","G4","Rutherford","Current","cliffs, rock outcrops""Taxonomic Group","Scientific Name","Common Name","NC Status","Federal Status","State Rank","Global Rank","County","County Status","
          Habitat Comment
        "
"Vascular Plant","Abies fraseri","Fraser Fir","W5","none","S2","G2","Yancey","Current","spruce-fir forests"
"Bird","Accipiter striatus","Sharp-shinned Hawk","SR","none","S1B,S4N","G5","Yancey","Current","forests and woodlands (for nesting) [breeding evidence only]"
"Natural Community","Acidic Cove Forest (High Elevation Subtype)","","","none","S2","G3G4Q","Yancey","Current","null"
"Natural Community","Acidic Cove Forest (Typic Subtype)","","","none","S4","G5","Yancey","Current","null"
"Vascular Plant","Aconitum reclinatum","Trailing Wolfsbane","SR-T","none","S3","G3G4","Yancey","Current","rich coves, seepage slopes, boulderfields, rocky stream banks, mainly associated with mafic rocks"
"Liverwort","Acrobolbus ciliatus","A Liverwort","SC-V","none","S1","G3?","Yancey","Historical","on moist rocks, in spray zones of waterfalls in humid gorges or in high elevation spruce-fir forests"
"Vascular Plant","Adlumia fungosa","Climbing Fumitory","SC-V","none","S2","G4","Yancey","Current","coves and cliffs"
"Bird","Aegolius acadicus","Northern Saw-whet Owl","T","none","S2B,S2N","G5","Yancey","Current","spruce-fir forests or mixed hardwood/spruce forests (for nesting) [breeding season only]"
"Vascular Plant","Agrostis mertensii","Arctic Bentgrass","E","none","SH","G5","Yancey","Historical","high elevation rocky summits and balds"
"Freshwater Bivalve","Alasmidonta raveneliana","Appalachian Elktoe","E","E","S1","G1","Yancey","Current","Tennessee drainages"
"Lichen","Alectoria fallacina","A Witch's hair lichen","W7","none","S1?","G2","Yancey","Historical","High elevation spruce-fir forests"
"Moss","Anacamptodon splachnoides","Knothole Moss","W7","none","S2?","G3G5","Yancey","Historical","bark of trees"
"Moss","Andreaea rothii","Roth's andreae moss","W7","none","S2?","G5","Yancey","Current","wet rocks and seepages at high elevation"
"Freshwater or Terrestrial Gastropod","Anguispira alternata","Flamed Tigersnail","W2","none","S2S3","G5","Yancey","Current","moist forested areas"
"Freshwater or Terrestrial Gastropod","Anguispira mordax","Appalachian Tigersnail","W3","none","S3S4","G4","Yancey","Current","hardwood forests, especially around limestone outcrops"
"Vascular Plant","Anticlea glauca","White Camas","SR-P","none","S1","G5T4T5","Yancey","Historical","calcareous rock outcrops"
"Freshwater or Terrestrial Gastropod","Appalachina sayana","Spike-lip Crater","SR","none","S2S3","G5","Yancey","Historical","rich upland hardwood forests"
"Bird","Aquila chrysaetos","Golden Eagle","SR","BGPA","SUB,S2N","G5","Yancey","Current","grass balds or fields amid remote and extensive forests in higher mountains, near waterfowl impoundments or large lakes in coastal areas [regular wintering sites]"
"Moth","Arctia caja","Great Tiger Moth","SR","none","S1","G5","Yancey","Current","high elevation hardwood forests"
"Vascular Plant","Arisaema stewardsonii (syn. Arisaema triphyllum ssp. stewardsonii)","Bog Jack-in-the-pulpit","W1","none","S3","G5T5","Yancey","Current","bogs"
"Liverwort","Barbilophozia hatcheri","A Liverwort","SR-D","none","S1","G5","Yancey","Historical","on high elevation rocky summits"
"Vascular Plant","Bartonia paniculata ssp. paniculata","Twining Screwstem","W1","none","S2S3","G5T5","Yancey","Current","bogs, wet savannas, sandhill seeps, other open wet areas"
"Liverwort","Bazzania nudicaulis","A Liverwort","SR-T","none","S2","G2G3","Yancey","Current","on bark of Fraser Fir or on shaded rock in spruce-fir forests"
"Vascular Plant","Betula cordifolia","Mountain Paper Birch","SC-V","none","S1","G5","Yancey","Current","high elevation forests and landslide scars"
"Moss","Blindia acuta","Sharp-pointed Weissia","W7","none","S2?","G5","Yancey","Historical","moist or dripping acidic rock faces"
"Sawfly, Wasp, Bee, or Ant","Bombus affinis","Rusty-patched Bumble Bee","SR","E","S1","G2","Yancey","Historical","nests in abandoned mammal burrows, gathers nectar and pollen from a variety of flowering plants found in or near woodlands"
"Sawfly, Wasp, Bee, or Ant","Bombus fervidus","Yellow Bumble Bee","W3","none","S3S4","G3G4","Yancey","Current","fields and other open habitats"
"Sawfly, Wasp, Bee, or Ant","Bombus lapponicus (syn. Bombus sylvicola)","Forest Bumble Bee","W3","none","SH","G5","Yancey","Historical","high mountains"
"Sawfly, Wasp, Bee, or Ant","Bombus nevadensis","Nevada Bumble Bee","W3","none","SH","G4","Yancey","Historical","mountain meadows and prairies"
"Sawfly, Wasp, Bee, or Ant","Bombus pensylvanicus","American Bumble Bee","W3","none","S3S4","G3G4","Yancey","Current","open habitats, fields"
"Sawfly, Wasp, Bee, or Ant","Bombus terricola","Yellow-banded Bumble Bee","W3","none","S3S4","G3G4","Yancey","Historical","within or at edge of forests and wetlands"
